plant_id,plant_name,scientific_name,irish_name,is_famine_food,cultural_importance,toxicity_label,toxicity_class
borago_officinalis_l,Bee borage,Borago officinalis L.,Borrairte gorm,False,Standard cooling herb,Low/Culinary,Low
atropa_belladonna_l,Belladonna / Deadly nightshade,Atropa belladonna L.,Miotóg buide,False,Historically used as poison,Highly Toxic / Restricted,High
rubus_spp,Blackberry,Rubus spp.,Sceach / Dris,False,Ubiquitous wild fruit,Low/Culinary,Low
menyanthes_trifoliata_l,Bogbean,Menyanthes trifoliata L.,Bachrán,False,Traditional wetland tonic,Low,Low
arctium_lappa_l,Burdock,Arctium lappa L.,Meacan doga,False,Commonly used for skin and joints,Low,Low
brassica_oleracea_l,Cabbage,Brassica oleracea L.,Cabáiste,False,Garden staple,Low/Culinary,Low
chondrus_crispus_stackh,Carrageen moss,Chondrus crispus Stackh.,Carraigín,False,Iconic Irish seaweed,Low/Culinary,Low
chamaemelum_nobile,Chamomile,Chamaemelum nobile,Camán meall,False,Widespread sleep aid,Low,Low
sinapis_arvensis_l,Charlock,Sinapis arvensis L.,Praiseach bhuí,True,Historical survival food,Low,Low
syzygium_aromaticum,Cloves,Syzygium aromaticum,N/A,False,Standard spice-based medicine,Low,Low
symphytum_officinale_l,Comfrey / 'Knit bones',Symphytum officinale L.,Lus na gCnamh,False,Known for 'knitting' bones,Medium (Caution),Medium
taraxacum_officinale_weber,Dandelion,Taraxacum officinale Weber,Caisearbhán,False,Called 'pissy-beds' by children,Low/Culinary,Low
rumex_obtusifolia_l,Dock,Rumex obtusifolia L.,Copóg sráide,True,The symbiotic 'cure' for nettles,Low,Low
palmaria_palmata_l_kuntze,Dulse,Palmaria palmata (L.) Kuntze,Duileasc mín,False,Traditional snack seaweed,Low/Culinary,Low
orchis_mascula_l_l,Early purple orchid,Orchis mascula (L.) L.,Magairlín meidhreach,False,Rare folklore use for romance,Low,Low
sambucus_nigra_l,Elder flowers,Sambucus nigra L.,Trom,False,Seasonal spring beverage source,Low (Flowers),Low
tanacetum_parthenium_l,Feverfew,Tanacetum parthenium L.,Lus deartan,False,Key headache remedy,Low,Low
linum_usitatissimum_l,Flax,Linum usitatissimum L.,Líon,False,Linked to Irish linen industry,Low,Low
digitalis_purpurea_l,Foxglove / 'Fairy fingers',Digitalis purpurea L.,Lus mór,False,Known as 'Fairy fingers'; strong folklore presence,Highly Toxic,High
