plant_id,raw_usage,ailment_name,category_name
borago_officinalis_l,Flowers eaten or in a drink for a cooling effect,Flowers eaten or in a drink for a cooling effect,Other
atropa_belladonna_l,Poison,Poison,Toxic/Poison
atropa_belladonna_l,Chapped hands,Skin,Skin/Wound
atropa_belladonna_l,Bad back,Bone & Muscle,Pain/Musculoskeletal
atropa_belladonna_l,Fever,Fever,Infection/Fever
rubus_spp,Splinter removal,Splinter removal,Other
menyanthes_trifoliata_l,Spring cleanse,General Health,General Tonic
menyanthes_trifoliata_l,Liver,Liver,Other
menyanthes_trifoliata_l,Blood cleaning,General Health,General Tonic
arctium_lappa_l,Boils,Boils,Skin/Wound
arctium_lappa_l,Arthritis,Arthritis,Pain/Musculoskeletal
arctium_lappa_l,Rheumatism,Rheumatism,Pain/Musculoskeletal
brassica_oleracea_l,Blood,Circulation,Circulatory
brassica_oleracea_l,Soothing womb after birth,Women's Health,Women's Health
chondrus_crispus_stackh,Arthritis,Arthritis,Pain/Musculoskeletal
chondrus_crispus_stackh,Rheumatism,Rheumatism,Pain/Musculoskeletal
chondrus_crispus_stackh,Coughs,Bronchitis,Respiratory
chondrus_crispus_stackh,Bronchial,Bronchitis,Respiratory
chondrus_crispus_stackh,Constipation,Digestion,Digestive
chamaemelum_nobile,Sleep,Calming,Emotional Wellbeing
chamaemelum_nobile,Calming,Calming,Emotional Wellbeing
chamaemelum_nobile,Chicken pox,Chicken pox,Other
chamaemelum_nobile,Skin irritations,Skin,Skin/Wound
chamaemelum_nobile,Pregnancy,Women's Health,Women's Health
sinapis_arvensis_l,Famine food staple,Famine food staple,Other
syzygium_aromaticum,Cold/Bronchitis,Cold,Respiratory
syzygium_aromaticum,Toothache,Toothache,Other
symphytum_officinale_l,Broken bones,Bone & Muscle,Pain/Musculoskeletal
symphytum_officinale_l,Sore back,Bone & Muscle,Pain/Musculoskeletal
symphytum_officinale_l,Asthma,Respiratory,Respiratory
symphytum_officinale_l,Twisted ankle,Bone & Muscle,Pain/Musculoskeletal
